qdate,rate_q,shock
1971-06-30,7.413076923076924,
1971-09-30,7.658461538461538,
1971-12-31,7.5528571428571425,
1972-03-31,7.349230769230768,
1972-06-30,7.346923076923077,
1972-09-30,7.406153846153846,
1972-12-31,7.43076923076923,
1973-03-31,7.446153846153846,-0.004299450549449801
1973-06-30,7.65,0.16993131868131872
1973-09-30,8.456923076923077,0.8770467032967035
1973-12-31,8.626153846153846,0.912115384615384
1974-03-31,8.462307692307693,0.6091346153846162
1974-06-30,8.886923076923077,0.8412500000000005
1974-09-30,9.606153846153846,1.2854807692307695
1974-12-31,9.793076923076923,1.1771153846153837
1975-03-31,9.168461538461539,0.3372115384615384
1975-06-30,8.875384615384617,-0.10903846153846075
1975-09-30,8.983846153846155,-0.06644230769230752
1975-12-31,9.160769230769231,0.04365384615384649
1976-03-31,8.873076923076923,-0.29538461538461647
1976-06-30,8.776923076923076,-0.37778846153846146
1976-09-30,8.967692307692307,-0.10721153846153975
1976-12-31,8.847142857142858,-0.10951923076923009
1977-03-31,8.693333333333333,-0.20393772893772955
1977-06-30,8.807692307692308,-0.08111721611721556
1977-09-30,8.925,0.04354624542124519
1977-12-31,8.936923076923076,0.08345009157509153
1978-03-31,9.126923076923077,0.24171932234432347
1978-06-30,9.557692307692308,0.5748923992673998
1978-09-30,9.76,0.6781616300366284
1978-12-31,10.122307692307693,0.881073717948718
1979-03-31,10.409230769230769,0.9535096153846148
1979-06-30,10.763846153846155,1.0636057692307688
1979-09-30,11.156923076923077,1.1776923076923076
1979-12-31,12.484615384615385,2.061923076923076
1980-03-31,13.68,2.688173076923075
1980-06-30,14.41923076923077,2.81971153846154
1980-09-30,12.643076923076924,0.6831730769230777
1980-12-31,14.226153846153846,1.7532692307692308
1981-03-31,15.126923076923077,2.064326923076923
1981-06-30,16.23923076923077,2.4922115384615378
1981-09-30,17.38,2.8550961538461532
1981-12-31,17.735714285714288,2.5544230769230793
1982-03-31,17.414166666666667,1.766104624542125
1982-06-30,16.76615384615385,0.8247264194139206
1982-09-30,16.22153846153846,-0.1671966575091588
1982-12-31,14.032857142857143,-2.3317158882783886
1983-03-31,13.030000000000001,-3.072457646520146
1983-06-30,12.763076923076925,-2.904861492673991
1983-09-30,13.641428571428571,-1.559188415750917
1983-12-31,13.459999999999999,-1.2061527014652036
1984-03-31,13.333076923076923,-0.8229395604395613
1984-06-30,14.035384615384617,0.22071428571428697
1984-09-30,14.493846153846153,0.895137362637362
1984-12-31,13.64846153846154,0.09780219780219923
1985-03-31,13.063846153846153,-0.49104395604395634
1985-06-30,12.785384615384617,-0.7722939560439546
1985-09-30,12.140769230769232,-1.229326923076922
1985-12-31,11.73076923076923,-1.423173076923078
1986-03-31,10.583846153846155,-2.226442307692306
1986-06-30,10.246153846153845,-2.090480769230769
1986-09-30,10.235384615384616,-1.568942307692307
1986-12-31,9.683846153846154,-1.6249038461538454
1987-03-31,9.114615384615384,-1.7004807692307704
1987-06-30,10.343076923076923,-0.16673076923076913
1987-09-30,10.481538461538461,0.17913461538461561
1987-12-31,10.864285714285714,0.6701923076923073
1988-03-31,10.068333333333333,-0.061320970695971866
1988-06-30,10.359230769230768,0.21544184981684822
1988-09-30,10.49642857142857,0.3200091575091566
1988-12-31,10.41,0.14281135531135547
1989-03-31,10.82,0.33963827838827854
1989-06-30,10.636153846153848,0.11915750915751033
1989-09-30,10.007692307692308,-0.45007326007326043
1989-12-31,9.813846153846153,-0.51261446886447
1990-03-31,10.131538461538462,-0.2028228021978009
1990-06-30,10.323846153846155,-0.006092032967032424
1990-09-30,10.103076923076923,-0.1776923076923076
1990-12-31,9.95923076923077,-0.26519230769230795
1991-03-31,9.500769230769231,-0.5587499999999999
