place_id,place_name,qdate,hpi_index,log_hpi,hpi_g,rate_q,shock,permits_q,permits_g
OK,Oklahoma,1992-04-01,102.08,4.62575681959648,-0.6639352645203545,8.677692307692308,-0.6241346153846159,1862.0,5.177367644180375
OK,Oklahoma,1992-07-01,102.95,4.634243433473799,0.8486613877319193,8.017692307692307,-1.0234615384615395,1819.0,-2.335159053074776
OK,Oklahoma,1992-10-01,104.52,4.649378440652412,1.5135007178613158,8.192142857142857,-0.6281250000000007,1643.0,-10.170420445471606
OK,Oklahoma,1993-01-01,105.43,4.6580472255888585,0.8668784936446627,7.723333333333334,-0.8747550366300372,1833.0,10.936707720028505
OK,Oklahoma,1993-04-01,107.27,4.675349020609338,1.730179502047946,7.453076923076923,-0.8863576007326017,2161.0,16.453434538274347
OK,Oklahoma,1993-07-01,108.94,4.690797271955528,1.5448251346190212,7.087692307692308,-0.9785691391941392,2249.0,3.989649699931253
OK,Oklahoma,1993-10-01,110.55,4.705467907303455,1.4670635347926897,7.046428571428572,-0.8143864468864459,1884.0,-17.700239531635464
OK,Oklahoma,1994-01-01,112.17,4.720015577657132,1.4547670353676878,7.295833333333333,-0.3909031593406586,2551.0,30.29495445825692
OK,Oklahoma,1994-04-01,113.49,4.731714727313047,1.1699149655915342,8.427692307692308,0.7722058150183146,2997.0,16.106803419786164
OK,Oklahoma,1994-07-01,113.26,4.729686060685659,-0.2028666627388098,8.594285714285714,0.8667250457875451,1997.0,-40.57987194540438
OK,Oklahoma,1994-10-01,115.01,4.74501908110449,1.5333020418831111,9.105384615384615,1.2636687271062268,2007.0,0.4992521603121247
OK,Oklahoma,1995-01-01,114.87,4.743801054157313,-0.1218026947177541,8.785384615384617,0.8109123168498176,2153.0,7.018737690471433
OK,Oklahoma,1995-04-01,115.77,4.751605464217637,0.7804410060324507,7.917692307692307,-0.1148569139194153,2595.0,18.664522010764628
OK,Oklahoma,1995-07-01,117.57,4.76703390087965,1.5428436662012324,7.696153846153846,-0.4124530677655684,2434.0,-6.402504230729011
OK,Oklahoma,1995-10-01,118.07,4.771277668919018,0.4243768039368767,7.339230769230769,-0.8059764194139198,2795.0,13.82430678370108
OK,Oklahoma,1996-01-01,118.98,4.77895541175976,0.7677742840741075,7.272307692307692,-0.8699587912087914,2790.0,-0.1789869817378608
OK,Oklahoma,1996-04-01,120.15,4.788740962182478,0.9785550422718892,8.102307692307692,0.0007142857142863,2691.0,-3.61155427717037
OK,Oklahoma,1996-07-01,121.01,4.7958731868099616,0.7132224627483197,8.146923076923077,0.1012500000000002,2848.0,5.668364373328938
OK,Oklahoma,1996-10-01,121.61,4.800819202992908,0.4946016182946877,7.703076923076923,-0.167307692307693,1834.0,-43.99235740092378
OK,Oklahoma,1997-01-01,122.92,4.811533737262284,1.071453426937552,7.7930769230769235,0.0467307692307699,2519.0,31.7214420016799
OK,Oklahoma,1997-04-01,123.38,4.815269023781492,0.3735286519208181,7.926923076923076,0.1794230769230766,3508.0,33.107219507774666
OK,Oklahoma,1997-07-01,124.07,4.82084592245478,0.5576898673288255,7.47,-0.2492307692307687,2372.0,-39.11761191474525
OK,Oklahoma,1997-10-01,125.2,4.829912458665998,0.9066536211217446,7.205384615384616,-0.4971153846153839,2247.0,-5.411404542218179
OK,Oklahoma,1998-01-01,126.62,4.84119047511598,1.1278016449982609,7.050000000000001,-0.6247115384615372,3702.0,49.91023699000312
OK,Oklahoma,1998-04-01,128.45,4.855539723555893,1.4349248439912363,7.097692307692308,-0.4514423076923082,3743.0,1.1011256683870485
OK,Oklahoma,1998-07-01,129.2,4.861361591348501,0.5821867792608515,6.872307692307692,-0.5174999999999992,3708.0,-0.9392260107892624
OK,Oklahoma,1998-10-01,132.05,4.883180638743141,2.1819047394640023,6.764285714285714,-0.508173076923077,3392.0,-8.904781270535977
OK,Oklahoma,1999-01-01,133.51,4.894176381402003,1.099574265886183,6.8775,-0.280511675824175,3689.0,8.39119722503412
OK,Oklahoma,1999-04-01,134.45,4.901192382714874,0.7016001312870834,7.181538461538461,0.1166998626373621,3522.0,-4.631355869333476
OK,Oklahoma,1999-07-01,136.96,4.919688912393432,1.849652967855775,7.786153846153846,0.6817960164835162,3628.0,2.9644228871832823
OK,Oklahoma,1999-10-01,137.47,4.923405711483329,0.3716799089897193,7.840714285714285,0.6569402472527468,2594.0,-33.537061161308124
OK,Oklahoma,2000-01-01,139.37,4.937132267131418,1.3726555648089445,8.256923076923076,0.9222836538461524,3023.0,15.299394169943524
OK,Oklahoma,2000-04-01,140.48,4.945065129886807,0.7932862755388292,8.316153846153846,0.829206730769231,3165.0,4.588850314153348
OK,Oklahoma,2000-07-01,141.61,4.953076800234967,0.8011670348160749,8.02,0.3895913461538454,3244.0,2.4646388697233235
OK,Oklahoma,2000-10-01,143.37,4.965428701258176,1.2351901023208711,7.620769230769231,-0.1166998626373621,1799.0,-58.93286852539346
OK,Oklahoma,2001-01-01,144.63,4.974178757085641,0.8750055827464465,7.006923076923077,-0.7467239010989006,2933.0,48.85800148186705
OK,Oklahoma,2001-04-01,146.41,4.986410905205391,1.2232148119750264,7.13,-0.6172046703296701,2994.0,2.057755184662291
OK,Oklahoma,2001-07-01,147.37,4.992946431225172,0.6535526019781024,6.963846153846154,-0.6805700549450551,2959.0,-1.175496323144376
OK,Oklahoma,2001-10-01,148.1,4.997887721273753,0.4941290048581237,6.770769230769231,-0.7399038461538456,3017.0,1.9405092009688647
OK,Oklahoma,2002-01-01,150.66,5.015025642397549,1.7137921123795865,6.9715384615384615,-0.378461538461539,3279.0,8.32490620503954
OK,Oklahoma,2002-04-01,150.85,5.016285965605071,0.1260323207521452,6.813076923076922,-0.3490384615384627,3150.0,-4.012355962091618
OK,Oklahoma,2002-07-01,152.15,5.02486687634298,0.8580910737909342,6.28923076923077,-0.6565384615384611,3490.0,10.246836534776271
OK,Oklahoma,2002-10-01,154.62,5.0409704938923285,1.6103617549348748,6.075384615384616,-0.6772115384615374,2985.0,-15.625352900590173
OK,Oklahoma,2003-01-01,155.13,5.04426347507624,0.3292981183911081,5.840769230769231,-0.766057692307692,4197.0,34.067352228144365
OK,Oklahoma,2003-04-01,156.75,5.05465217951303,1.038870443679052,5.506923076923077,-0.8970192307692306,3478.0,-18.786332522863702
OK,Oklahoma,2003-07-01,158.72,5.067141643536563,1.2489464023532904,6.033846153846154,-0.2538461538461529,4255.0,20.158485586953923
OK,Oklahoma,2003-10-01,160.12,5.075923534124373,0.8781890587809649,5.9192857142857145,-0.2619711538461544,3315.0,-24.95705147662957
OK,Oklahoma,2004-01-01,161.97,5.087411132898305,1.148759877393246,5.5975,-0.4120020604395602,4031.0,19.550329349601903
OK,Oklahoma,2004-04-01,163.82,5.098768264087456,1.1357131189150491,6.106153846153846,0.1850171703296697,3912.0,-2.995818754079238
OK,Oklahoma,2004-07-01,163.25,5.09528276815654,-0.3485495930915405,5.894285714285714,0.02251717032967,3748.0,-4.28152054744988
OK,Oklahoma,2004-10-01,166.94,5.117634466422591,2.235169826605077,5.7361538461538455,-0.0932108516483527,3909.0,4.204823624349885
OK,Oklahoma,2005-01-01,168.87,5.129129188144045,1.1494721721454049,5.768461538461538,-0.0518646978021983,4340.0,10.456736232018216
OK,Oklahoma,2005-04-01,171.12,5.14236506477415,1.323587663010528,5.708461538461538,-0.1370570054945048,4823.0,10.549872310742714
OK,Oklahoma,2005-07-01,174.2,5.160204064418402,1.7838999644252065,5.7638461538461545,-0.047922390109889,4674.0,-3.137429668423408
OK,Oklahoma,2005-10-01,176.83,5.175188819066886,1.4984754648483367,6.226153846153846,0.376026785714286,4473.0,-4.3946299672711575
OK,Oklahoma,2006-01-01,179.88,5.192289961902507,1.710114283562092,6.2469230769230775,0.3156181318681321,4545.0,1.5964862362412902
OK,Oklahoma,2006-04-01,181.86,5.203237160297767,1.0947198395260038,6.602307692307692,0.6089835164835158,4732.0,4.03115254937596
OK,Oklahoma,2006-07-01,182.54,5.206969327088731,0.3732166790964442,6.5600000000000005,0.4834615384615386,3651.0,-25.928428819138816
OK,Oklahoma,2006-10-01,184.78,5.2191659282426,1.2196601153868336,6.243846153846154,0.1038461538461543,2774.0,-27.46242155343248
OK,Oklahoma,2007-01-01,189.64,5.245127538033917,2.5961609791317564,6.214615384615384,0.0188461538461535,3908.0,34.26308396124193
OK,Oklahoma,2007-04-01,188.08,5.236867404231814,-0.8260133802102665,6.358461538461539,0.081442307692308,4015.0,2.70047955786108
OK,Oklahoma,2007-07-01,191.98,5.257391199935391,2.0523795703576653,6.5515384615384615,0.1760576923076922,3737.0,-7.173567335605746
OK,Oklahoma,2007-10-01,193.41,5.264812287990639,0.7421088055247438,6.224615384615385,-0.150673076923077,2729.0,-31.424909983650195
OK,Oklahoma,2008-01-01,192.21,5.25858852431904,-0.622376367159827,5.872307692307692,-0.4561538461538461,2872.0,5.105517080028399
OK,Oklahoma,2008-04-01,191.6,5.25540986553676,-0.3178658782280408,6.086923076923076,-0.1771153846153854,2526.0,-12.832395159109566
OK,Oklahoma,2008-07-01,191.13,5.252953824796506,-0.2456040740253406,6.322307692307692,0.0879807692307697,2544.0,0.7097821596429021
OK,Oklahoma,2008-10-01,187.34,5.232925147780985,-2.00286770155218,5.841428571428572,-0.3425961538461539,1606.0,-45.976156324711056
OK,Oklahoma,2009-01-01,190.3,5.248601774302104,1.5676626521119452,5.06,-0.9796978021978022,1656.0,3.063965168905014
OK,Oklahoma,2009-04-01,191.85,5.256713816692962,0.811204239085761,5.012307692307692,-0.8591208791208791,2643.0,46.72841835450141
OK,Oklahoma,2009-07-01,192.12,5.258120176796624,0.1406360103661796,5.162307692307692,-0.5354670329670324,2131.0,-21.52324156858416
OK,Oklahoma,2009-10-01,191.17,5.253163084540927,-0.4957092255696516,4.922142857142857,-0.6128228021978019,2224.0,4.269640931460561
