place_id,place_name,nobs,cum_1y,se_1y,t_1y
DC,District of Columbia,131,-29.35305997406524,34.887562722880446,-0.8413617255875117
IA,Iowa,131,-23.13034961581158,10.966674550878018,-2.1091489045746967
MN,Minnesota,131,-21.063499326924056,11.101367064716666,-1.897378872721893
ND,North Dakota,131,-20.070545762215566,27.618069042664125,-0.7267179226473358
WI,Wisconsin,131,-18.086293427677845,9.936711929905977,-1.8201487126988676
KS,Kansas,131,-15.308382048794424,6.4806246095934315,-2.3621769460513176
RI,Rhode Island,131,-14.890230541755558,7.70735864572865,-1.9319498710505176
WY,Wyoming,131,-14.406182172221504,10.84624405846143,-1.3282185145910372
IN,Indiana,131,-12.940741358160329,6.937188382382317,-1.8654158781423082
SD,South Dakota,131,-12.853933528913336,13.520453577590688,-0.9507028336843619
CT,Connecticut,131,-12.465871888617652,10.258049721296649,-1.2152282575446445
MA,Massachusetts,131,-11.131132273725493,6.19219878219095,-1.7976057722402492
NJ,New Jersey,131,-10.828245890921956,6.000737598175085,-1.804485817579324
ME,Maine,131,-10.323919459927838,12.326860581036403,-0.8375140930700651
CO,Colorado,131,-10.09518913121044,5.820198291550794,-1.7345094832706418
NY,New York,131,-9.907977300452039,9.568333833579045,-1.0354966154798082
IL,Illinois,131,-9.905841118331608,8.159154311712303,-1.2140769422772126
PA,Pennsylvania,131,-9.70395256623311,6.07997170914639,-1.5960522565647786
NH,New Hampshire,131,-8.946176758082688,9.592362420713519,-0.9326353994678649
MI,Michigan,131,-8.043238571898062,8.424949393159487,-0.954692805446244
NE,Nebraska,131,-7.905487026149909,10.10383086133505,-0.7824247193608833
OH,Ohio,131,-7.425989159484768,6.095642873430052,-1.2182454441111514
MT,Montana,131,-6.908957323449596,9.95156928405811,-0.6942580739017093
CA,California,131,-6.7878191626066275,4.839230701142311,-1.402664923787235
VT,Vermont,131,-6.701176116372224,9.971768508494788,-0.6720148096762977
MD,Maryland,131,-5.767418733779634,5.144878689250172,-1.1210018898657828
WA,Washington,131,-5.278684612549203,5.71317637537918,-0.9239491774308928
HI,Hawaii,131,-4.22565909360994,8.451552692494653,-0.4999861264975025
NM,New Mexico,131,-2.415554354112726,5.653044888523209,-0.4273014635027533
MO,Missouri,131,-2.0681605128078573,5.950953822637761,-0.3475342902074722
DE,Delaware,131,-0.4057920459380444,4.512838546285543,-0.0899194690384052
UT,Utah,131,-0.19047855424795834,5.7449359491310785,-0.03315590564186677
FL,Florida,131,0.14610250572259886,3.7612946227278656,0.03884367495164166
TX,Texas,131,0.18462321540241788,4.21801249038684,0.04377019172493864
KY,Kentucky,131,0.8460831863844618,4.2995286367821395,0.19678510317300474
VA,Virginia,131,0.9771483274179289,3.877706707612036,0.251991293075302
AZ,Arizona,131,1.3916258107060777,5.449655669341512,0.2553603190996156
AL,Alabama,131,1.6451066516377661,4.196857663610027,0.3919853336704987
SC,South Carolina,131,1.9313726410777132,3.5185017587109733,0.5489190495062548
NV,Nevada,131,2.797948185088069,5.666418923252994,0.4937771497278946
ID,Idaho,131,2.9249834577406943,7.612299204552134,0.3842444154049492
GA,Georgia,131,3.306500733921009,3.4215584585745873,0.966372714058052
MS,Mississippi,131,3.4583766064986285,6.465671999291379,0.5348827789095484
NC,North Carolina,131,3.4808937063860057,3.7434498382974497,0.9298625216704235
WV,West Virginia,131,3.7599722108924354,6.3117824059335135,0.5957068810480223
OK,Oklahoma,131,4.51529214992814,4.8292794109203685,0.9349825855422209
TN,Tennessee,131,5.3364817500022,4.383429268090757,1.2174216631825687
OR,Oregon,131,6.25215374453086,5.754366629972023,1.0865059782541622
LA,Louisiana,131,7.770491955560942,4.713830320630557,1.6484454099997181
AK,Alaska,131,11.979353370229376,15.029540442087836,0.7970538697699036
AR,Arkansas,131,12.137156489102136,5.450021558944508,2.2269923811921046
