place_id,place_name,nobs,cum_1y,se_1y,t_1y
DC,District of Columbia,131,-1.6155719369618762,0.9403488898444661,-1.7180558773553634
HI,Hawaii,131,-1.5468689290252569,1.0165805706119009,-1.5216392814729525
CA,California,131,-0.6650480297094419,0.48103845120956523,-1.3825257170963918
ND,North Dakota,131,-0.6459441010063052,0.24663472742506024,-2.619031422501419
UT,Utah,131,-0.6009480823535931,0.5044666404809596,-1.1912543548581287
AZ,Arizona,131,-0.5925025258944184,0.5154063497868451,-1.1495832873216594
SD,South Dakota,131,-0.5606345195425544,0.42865843379217433,-1.3078816963493265
NV,Nevada,131,-0.558385983762233,0.6439687467115738,-0.8671010613692526
LA,Louisiana,131,-0.37417150664454746,0.19744532610937146,-1.8950638843549104
FL,Florida,131,-0.3047744046240091,0.42116060019595003,-0.7236536477586203
WY,Wyoming,131,-0.24302809394857866,0.38654091057729234,-0.6287254137876901
AK,Alaska,131,-0.16495446918720919,0.31817425258142906,-0.5184406590064765
WA,Washington,131,-0.16171865688789672,0.3806145589513444,-0.4248882579096768
OR,Oregon,131,-0.16081325612930342,0.4254142390394104,-0.37801568770340493
CO,Colorado,131,-0.1523991849126285,0.3234677523933005,-0.4711418179557144
MT,Montana,131,-0.1511802393382896,0.31568739878791385,-0.4788922203380567
ID,Idaho,131,-0.14321292238780428,0.5624527681417223,-0.25462213095859215
NY,New York,131,-0.13980655210970927,0.26510124006794844,-0.5273704192174856
IA,Iowa,131,-0.12117995818830961,0.2296281184880861,-0.5277226455809542
TX,Texas,131,-0.09878018340191708,0.20119819566585317,-0.4909595887528219
MN,Minnesota,131,-0.07032099954925335,0.26885569056018915,-0.2615566715464796
MA,Massachusetts,131,-0.061391166342832926,0.30511180718380954,-0.2012087533074354
MS,Mississippi,131,-0.027377669403779004,0.312327400174922,-0.08765695673336978
NH,New Hampshire,131,0.012233908267666904,0.44564282934862554,0.027452272227848056
MD,Maryland,131,0.06631859229799703,0.3846350554234394,0.17241952173336828
KY,Kentucky,131,0.0813274145524912,0.24693790134027682,0.3293435884531278
PA,Pennsylvania,131,0.1069468333361558,0.23835746139739605,0.44868254892953036
OK,Oklahoma,131,0.117540647989678,0.24308329461751735,0.4835406241083901
IN,Indiana,131,0.13472428420309848,0.20970967680144764,0.6424323677283378
NJ,New Jersey,131,0.13659565107270868,0.3392006136975949,0.4026987144383142
DE,Delaware,131,0.14676721440205542,0.5166439308767266,0.28407807704814536
WI,Wisconsin,131,0.16268263703552305,0.2533651105931416,0.6420877628126228
TN,Tennessee,131,0.17084894429794845,0.24531271562180573,0.696453683066895
VA,Virginia,131,0.18666122781858396,0.2939672267888827,0.6349729180955186
NE,Nebraska,131,0.2383363476774353,0.27087631711830945,0.87987148604556
KS,Kansas,131,0.25199230585547716,0.20763439121224778,1.2136347181420726
IL,Illinois,131,0.26382642404414947,0.23700769974408348,1.1131554980240066
WV,West Virginia,131,0.2676696212883068,0.5149768376413567,0.5197702143542209
MO,Missouri,131,0.2706551155143529,0.19443123021154693,1.3920351952712129
CT,Connecticut,131,0.2811252497857496,0.34984639120294364,0.803567670997271
AL,Alabama,131,0.2819279926786731,0.28902722542926973,0.9754374947202544
OH,Ohio,131,0.3077658904884318,0.21404243319638616,1.4378732566829557
AR,Arkansas,131,0.31788201585217074,0.288956699069127,1.1001025997190117
NM,New Mexico,131,0.3328309386342442,0.3357799892310927,0.9912173128494
ME,Maine,131,0.36273516822583185,0.5144664192135222,0.7050706415014497
SC,South Carolina,131,0.4113193826608333,0.33031415522736285,1.2452369241569823
MI,Michigan,131,0.4886661337044394,0.3234000866094654,1.511026601222119
GA,Georgia,131,0.5094519612754627,0.3791884215017231,1.3435324824999901
NC,North Carolina,131,0.6526453514992938,0.2939122215885125,2.2205451272898085
RI,Rhode Island,131,0.7171834321313761,0.5580092479532287,1.2852536669633998
VT,Vermont,131,0.9305982977559866,0.7132396901103396,1.3047483344792845
