model,var,coef,se,t,p,nobs,r2
(1) price~saiz,const,-0.1559892315566851,0.15483644388608003,-1.0074451959866324,0.31372088147054766,42,0.03311226953241275
(1) price~saiz,saiz_elasticity,0.05788575572876451,0.04617041655032603,1.253741249348892,0.20993606965331024,42,0.03311226953241275
(2) price~permits,const,0.03481366159208963,0.06808573530912228,0.5113209313820133,0.6091263506406468,51,0.038576735350314806
(2) price~permits,permits_sens_1y,0.01030340059953293,0.00951680333417264,1.0826535169152651,0.2789622434507171,51,0.038576735350314806
(3) price~saiz+permits,const,-0.1506602234382242,0.15766740507091143,-0.9555571956706224,0.33929599587788917,42,0.06477442376598352
(3) price~saiz+permits,saiz_elasticity,0.06709262100646314,0.04469342939456132,1.5011741527855893,0.1333105233950594,42,0.06477442376598352
(3) price~saiz+permits,permits_sens_1y,0.007141880241273136,0.005707183206550117,1.2513844365599516,0.2107942526961204,42,0.06477442376598352
